id,focus,signal,slack,drag,confidence,score,lane
l001,state drift,35,33,6,25,186,watch
l002,review cost,35,34,6,55,217,ship
l003,decision risk,35,35,6,85,248,ship
l004,input pressure,35,36,18,25,165,watch
l005,state drift,35,37,18,55,196,ship
l006,review cost,35,38,18,85,227,ship
l007,decision risk,35,39,34,25,136,watch
l008,input pressure,35,40,34,55,167,watch
l009,state drift,35,41,34,85,198,ship
l010,review cost,60,42,6,25,295,ship
l011,decision risk,60,43,6,55,326,ship
l012,input pressure,60,44,6,85,357,ship
l013,state drift,60,45,18,25,274,ship
l014,review cost,60,46,18,55,305,ship
l015,decision risk,60,47,18,85,336,ship
l016,input pressure,60,48,34,25,245,ship
l017,state drift,60,32,34,55,259,ship
l018,review cost,60,33,34,85,290,ship
l019,decision risk,85,34,6,25,387,ship
l020,input pressure,85,35,6,55,418,ship
l021,state drift,85,36,6,85,449,ship
l022,review cost,85,37,18,25,366,ship
l023,decision risk,85,38,18,55,397,ship
l024,input pressure,85,39,18,85,428,ship
l025,state drift,85,40,34,25,337,ship
l026,review cost,85,41,34,55,368,ship
l027,decision risk,85,42,34,85,399,ship
